# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
cacheStateStorage.get.counter,1779645944026000000,1779645972438000000,10
cacheStateStorage.get.duration,1779645944026000000,1779645972438000000,0
cacheStateStorage.set.counter,1779645944026000000,1779645972438000000,8
cacheStateStorage.set.duration,1779645944026000000,1779645972438000000,21
workspaceModel.on.changed.ms,1779645944026000000,1779645972438000000,0
workspaceModel.cachedValue.clear.count,1779645944026000000,1779645972438000000,0
workspaceModel.update.unloaded.entities.ms,1779645944026000000,1779645972438000000,0
workspaceModel.cachedValueWithParameters.total.get.count,1779645944026000000,1779645972438000000,0
workspaceModel.cachedValueWithParameters.calculated.count,1779645944026000000,1779645972438000000,0
workspaceModel.initializing.ms,1779645944026000000,1779645972438000000,0
workspaceModel.cachedValueWithParameters.clear.count,1779645944026000000,1779645972438000000,0
workspaceModel.entityStorageSnapshotImpl.instances.count,1779645944026000000,1779645972438000000,5
workspaceModel.init.bridges.ms,1779645944026000000,1779645972438000000,0
workspaceModel.pre.handlers.ms,1779645944026000000,1779645972438000000,0
workspaceModel.full.replace.project.model.ms,1779645944026000000,1779645972438000000,0
workspaceModel.updates.ms,1779645944026000000,1779645972438000000,0
workspaceModel.cachedValue.total.get.count,1779645944026000000,1779645972438000000,18
workspaceModel.updates.precise.ms,1779645944026000000,1779645972438000000,0
workspaceModel.cachedValueWithParameters.from.cache.count,1779645944026000000,1779645972438000000,0
workspaceModel.updates.count,1779645944026000000,1779645972438000000,0
workspaceModel.cachedValue.from.cache.count,1779645944026000000,1779645972438000000,16
workspaceModel.replace.project.model.ms,1779645944026000000,1779645972438000000,0
workspaceModel.collect.changes.ms,1779645944026000000,1779645972438000000,0
workspaceModel.cachedValue.calculated.count,1779645944026000000,1779645972438000000,2
workspaceModel.check.recursive.update.ms,1779645944026000000,1779645972438000000,0
workspaceModel.on.before.changed.ms,1779645944026000000,1779645972438000000,0
workspaceModel.loading.from.cache.ms,1779645944026000000,1779645972438000000,33
workspaceModel.loading.total.ms,1779645944026000000,1779645972438000000,41
workspaceModel.to.snapshot.ms,1779645944026000000,1779645972438000000,0
writeAction.wait.ms,1779645944026000000,1779645972438000000,70
lexer.HTML.time.ns,1779645944026000000,1779645972438000000,192178
DiskQueryRelay.tasksExecuted,1779645944026000000,1779645972438000000,115
writeAction.median.wait.ms,1779645944026000000,1779645972438000000,0
parser.HTML.size.bytes,1779645944026000000,1779645972438000000,1
