# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
workspaceModel.mutableEntityStorage.instances.count,1779636469794000000,1779636497342000000,5
workspaceModel.moduleManagerBridge.new.nonPersistent.module.ms,1779636469794000000,1779636497342000000,0
workspaceModel.mutableEntityStorage.remove.entity.ms,1779636469794000000,1779636497342000000,0
workspaceModel.global.apply.state.to.project.builder.ms,1779636469794000000,1779636497342000000,0
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForNewParent.ms,1779636469794000000,1779636497342000000,0
workspaceModel.moduleManagerBridge.load.module.ms,1779636469794000000,1779636497342000000,0
jps.global.initialize.library.bridges.ms,1779636469794000000,1779636497342000000,0
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForNewChild.ms,1779636469794000000,1779636497342000000,0
workspaceModel.global.updates.ms,1779636469794000000,1779636497342000000,20
jps.library.entities.serializer.save.entities.ms,1779636469794000000,1779636497342000000,0
workspaceModel.moduleManagerBridge.create.module.instance.ms,1779636469794000000,1779636497342000000,0
workspaceModel.sync.entities.ms,1779636469794000000,1779636497342000000,0
workspaceModel.save.cache.to.file.ms,1779636469794000000,1779636497342000000,89
jps.app.storage.content.writer.save.component.ms,1779636469794000000,1779636497342000000,60
workspaceModel.mutableEntityStorage.put.entity.ms,1779636469794000000,1779636497342000000,8
workspaceModel.mutableEntityStorage.mutable.ext.mapping.ms,1779636469794000000,1779636497342000000,2
workspaceModel.do.save.caches.ms,1779636469794000000,1779636497342000000,0
workspaceModel.mutableEntityStorage.add.entity.ms,1779636469794000000,1779636497342000000,13
workspaceModel.on.before.changed.ms,1779636469794000000,1779636497342000000,0
workspaceModel.to.snapshot.ms,1779636469794000000,1779636497342000000,0
workspaceModel.cachedValueWithParameters.calculated.count,1779636469794000000,1779636497342000000,0
workspaceModel.on.changed.ms,1779636469794000000,1779636497342000000,0
workspaceModel.updates.precise.ms,1779636469794000000,1779636497342000000,0
workspaceModel.entityStorageSnapshotImpl.instances.count,1779636469794000000,1779636497342000000,4
workspaceModel.updates.count,1779636469794000000,1779636497342000000,0
workspaceModel.cachedValueWithParameters.clear.count,1779636469794000000,1779636497342000000,0
workspaceModel.cachedValue.clear.count,1779636469794000000,1779636497342000000,0
workspaceModel.cachedValueWithParameters.total.get.count,1779636469794000000,1779636497342000000,0
workspaceModel.cachedValue.total.get.count,1779636469794000000,1779636497342000000,18
workspaceModel.loading.from.cache.ms,1779636469794000000,1779636497342000000,69
workspaceModel.full.replace.project.model.ms,1779636469794000000,1779636497342000000,0
workspaceModel.cachedValueWithParameters.from.cache.count,1779636469794000000,1779636497342000000,0
workspaceModel.loading.total.ms,1779636469794000000,1779636497342000000,79
workspaceModel.pre.handlers.ms,1779636469794000000,1779636497342000000,0
workspaceModel.check.recursive.update.ms,1779636469794000000,1779636497342000000,0
workspaceModel.initializing.ms,1779636469794000000,1779636497342000000,0
workspaceModel.collect.changes.ms,1779636469794000000,1779636497342000000,0
workspaceModel.cachedValue.from.cache.count,1779636469794000000,1779636497342000000,16
workspaceModel.init.bridges.ms,1779636469794000000,1779636497342000000,0
workspaceModel.cachedValue.calculated.count,1779636469794000000,1779636497342000000,2
workspaceModel.replace.project.model.ms,1779636469794000000,1779636497342000000,0
workspaceModel.update.unloaded.entities.ms,1779636469794000000,1779636497342000000,0
workspaceModel.updates.ms,1779636469794000000,1779636497342000000,0
FilePageCache.maxCacheSizeInBytes,1779636469794000000,1779636497342000000,403701760
FilePageCache.pageFastCacheHits,1779636469794000000,1779636497342000000,27006
DirectByteBufferAllocator.disposed,1779636469794000000,1779636497342000000,345
FileChannelInterruptsRetryer.totalRetriedAttempts,1779636469794000000,1779636497342000000,0
DirectByteBufferAllocator.totalSizeOfBuffersAllocatedInBytes,1779636469794000000,1779636497342000000,41943040
FilePageCache.totalPageLoadsUs,1779636469794000000,1779636497342000000,371704
FilePageCache.capacityInBytes,1779636469794000000,1779636497342000000,629145600
FilePageCache.maxRegisteredFiles,1779636469794000000,1779636497342000000,1078
DirectByteBufferAllocator.reclaimed,1779636469794000000,1779636497342000000,43
FilePageCache.uncachedFileAccess,1779636469794000000,1779636497342000000,697
DirectByteBufferAllocator.hits,1779636469794000000,1779636497342000000,3
StorageLockContext.competingThreads.90P,1779636469794000000,1779636497342000000,0
FilePageCache.pageHits,1779636469794000000,1779636497342000000,0
StorageLockContext.competingThreads.max,1779636469794000000,1779636497342000000,0
FilePageCache.pageLoadsAboveSizeThreshold,1779636469794000000,1779636497342000000,0
FilePageCache.totalPageDisposalsUs,1779636469794000000,1779636497342000000,3023
FilePageCache.pageLoads,1779636469794000000,1779636497342000000,388
DirectByteBufferAllocator.misses,1779636469794000000,1779636497342000000,385
StorageLockContext.competingThreads.avg,1779636469794000000,1779636497342000000,0.0
DirectByteBufferAllocator.totalSizeOfBuffersCachedInBytes,1779636469794000000,1779636497342000000,41943040
FilePageCache.disposedBuffers,1779636469794000000,1779636497342000000,388
